Неделя,Продажи упаковки,Россия 1,Домашний,НТВ,Первый Канал,Пятый Канал,ТВ Центр,ТВ-3,Рен ТВ,Звезда,Нишевые каналы,Реклама в прессе,Конкурент1,Конкурент2,Конкурент3,Конкурент4,Цена бренда,Средняя цена в категории,Неделя,Lag 4,Lag 5,Lag 6,Lag 7,Lag 8,Lag 9,Lag 10,Lag 11,Lag 12
2010-01-04,7092.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,104,1,,,,,,,,,
2010-01-11,8664.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,100,2,,,,,,,,,
2010-01-18,7526.0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,53,97,3,,,,,,,,,
2010-01-25,9165.0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,55,103,4,,,,,,,,,
2010-02-01,8713.0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,52,101,5,7092.0,,,,,,,,
2010-02-08,7489.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,101,6,8664.0,7092.0,,,,,,,
2010-02-15,8595.0,46,10,0,0,0,0,0,0,0,0,6,0,0,0,0,53,104,7,7526.0,8664.0,7092.0,,,,,,
2010-02-22,7798.0,43,10,0,0,0,0,0,0,0,0,0,0,0,0,0,53,100,8,9165.0,7526.0,8664.0,7092.0,,,,,
2010-03-01,9154.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,52,105,9,8713.0,9165.0,7526.0,8664.0,7092.0,,,,
2010-03-08,8317.0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,52,103,10,7489.0,8713.0,9165.0,7526.0,8664.0,7092.0,,,
2010-03-15,8671.0,39,11,0,0,0,0,0,0,0,0,0,0,8,13,0,53,103,11,8595.0,7489.0,8713.0,9165.0,7526.0,8664.0,7092.0,,
2010-03-22,8837.0,46,9,0,0,0,0,0,0,0,0,0,0,10,6,0,53,103,12,7798.0,8595.0,7489.0,8713.0,9165.0,7526.0,8664.0,7092.0,
2010-03-29,7389.0,0,0,0,0,0,0,0,0,0,0,22,0,10,8,0,56,109,13,9154.0,7798.0,8595.0,7489.0,8713.0,9165.0,7526.0,8664.0,7092.0
2010-04-05,8215.0,0,0,0,0,0,0,0,0,0,0,24,0,13,12,0,56,109,14,8317.0,9154.0,7798.0,8595.0,7489.0,8713.0,9165.0,7526.0,8664.0
2010-04-12,8121.0,0,0,0,0,0,0,0,0,0,0,34,0,7,19,0,56,111,15,8671.0,8317.0,9154.0,7798.0,8595.0,7489.0,8713.0,9165.0,7526.0
2010-04-19,8120.0,0,0,0,0,0,0,0,0,0,0,36,0,0,6,0,55,107,16,8837.0,8671.0,8317.0,9154.0,7798.0,8595.0,7489.0,8713.0,9165.0
2010-04-26,7494.0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,55,108,17,7389.0,8837.0,8671.0,8317.0,9154.0,7798.0,8595.0,7489.0,8713.0
2010-05-03,6077.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57,106,18,8215.0,7389.0,8837.0,8671.0,8317.0,9154.0,7798.0,8595.0,7489.0
2010-05-10,7427.0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,56,114,19,8121.0,8215.0,7389.0,8837.0,8671.0,8317.0,9154.0,7798.0,8595.0
2010-05-17,7440.0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,56,110,20,8120.0,8121.0,8215.0,7389.0,8837.0,8671.0,8317.0,9154.0,7798.0
2010-05-24,6449.0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,58,112,21,7494.0,8120.0,8121.0,8215.0,7389.0,8837.0,8671.0,8317.0,9154.0
2010-05-31,6309.0,0,0,0,0,0,0,0,0,0,0,27,62,0,0,3,58,109,22,6077.0,7494.0,8120.0,8121.0,8215.0,7389.0,8837.0,8671.0,8317.0
2010-06-07,7078.0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,4,59,110,23,7427.0,6077.0,7494.0,8120.0,8121.0,8215.0,7389.0,8837.0,8671.0
2010-06-14,7886.0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,4,60,112,24,7440.0,7427.0,6077.0,7494.0,8120.0,8121.0,8215.0,7389.0,8837.0
2010-06-21,7981.0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,5,59,110,25,6449.0,7440.0,7427.0,6077.0,7494.0,8120.0,8121.0,8215.0,7389.0
